N,PV_allocation,PV_panels,PV_inverter
0,0,0,0
1,0,708,24
2,0,649,21
3,0,846,29
4,0,432,14
5,0,432,14
6,0,1417,48
7,0,1417,48
8,0,432,14
9,0,432,14
10,0,314,11
11,0,432,14
12,0,432,14
13,0,846,29
14,0,432,14
15,0,432,14
16,0,432,14
17,0,649,21
18,0,649,21
19,0,649,21
20,0,649,21
21,0,649,21
22,0,649,21
23,0,2971,101
24,0,2971,101
25,0,432,14
26,0,432,14
27,0,432,14
28,0,846,29
29,0,1417,48
30,0,1062,36
31,0,1495,50
32,0,432,14
