N,PV_allocation,PV_panels,PV_inverter
0,0,0,0
1,1,255,11
2,1,235,12
3,1,255,11
4,1,255,11
5,1,260,10
6,1,235,12
7,1,235,12
8,1,255,11
9,1,255,11
10,1,295,9
11,1,255,11
12,1,260,10
13,1,235,12
14,1,260,10
15,1,260,10
16,1,260,10
17,1,275,10
18,0,500,0
19,1,255,11
20,1,235,12
21,1,255,11
22,1,255,11
23,1,235,12
24,1,235,12
25,1,260,10
26,1,260,10
27,1,260,10
28,1,255,11
29,1,235,12
30,1,234,12
31,1,235,12
32,1,260,10
