M,S,T,curve_pv
4,2,4,0.0
4,2,5,0.0
4,2,6,0.0028333333333333335
4,2,7,0.04583333333333334
4,2,8,0.10833333333333332
4,2,9,0.13250000000000003
4,2,10,0.14650000000000007
4,2,11,0.1396666666666666
4,2,12,0.1878333333333334
4,2,13,0.1306666666666667
4,2,14,0.17616666666666675
4,2,15,0.16299999999999998
4,2,16,0.17633333333333334
4,2,17,0.174
4,2,18,0.07466666666666666
4,2,19,0.003
4,2,20,0.0
4,2,21,0.0
4,2,22,0.0
4,2,23,0.0
4,2,24,0.0
4,3,1,0.0
4,3,2,0.0
4,3,3,0.0
4,3,4,0.0
4,3,5,0.0
4,3,6,0.0032857142857142863
4,3,7,0.06485714285714286
4,3,8,0.1732857142857143
4,3,9,0.29942857142857143
4,3,10,0.3554285714285714
4,3,11,0.4297142857142857
4,3,12,0.478
4,3,13,0.4962857142857143
4,3,14,0.4615714285714286
4,3,15,0.38471428571428573
4,3,16,0.24514285714285713
4,3,17,0.1474285714285714
4,3,18,0.05714285714285715
4,3,19,0.0011428571428571442
4,3,20,0.0
4,3,21,0.0
4,3,22,0.0
4,3,23,0.0
4,3,24,0.0
5,1,1,0.0
5,1,2,0.0
5,1,3,0.0
5,1,4,0.0
5,1,5,0.00016666666666666666
5,1,6,0.013499999999999998
5,1,7,0.05650000000000001
5,1,8,0.12100000000000001
5,1,9,0.19683333333333333
5,1,10,0.2391666666666667
5,1,11,0.19166666666666668
5,1,12,0.16800000000000004
5,1,13,0.1921666666666667
5,1,14,0.1408333333333333
5,1,15,0.14633333333333337
5,1,16,0.11533333333333334
5,1,17,0.08766666666666667
5,1,18,0.06866666666666667
5,1,19,0.025333333333333333
5,1,20,0.0
5,1,21,0.0
5,1,22,0.0
5,1,23,0.0
5,1,24,0.0
5,2,1,0.0
5,2,2,0.0
5,2,3,0.0
5,2,4,0.0
5,2,5,0.0009166666666666668
5,2,6,0.04433333333333333
5,2,7,0.18416666666666667
5,2,8,0.32225000000000004
5,2,9,0.46558333333333335
5,2,10,0.5365833333333333
5,2,11,0.5996666666666666
5,2,12,0.6825833333333333
5,2,13,0.7143333333333333
5,2,14,0.6832499999999999
5,2,15,0.5878333333333333
5,2,16,0.44799999999999995
5,2,17,0.28933333333333333
5,2,18,0.13525
5,2,19,0.03858333333333333
5,2,20,0.0021666666666666674
5,2,21,0.0
5,2,22,0.0
5,2,23,0.0
5,2,24,0.0
5,3,1,0.0
5,3,2,0.0
5,3,3,0.0
5,3,4,0.0
5,3,5,0.0
5,3,6,0.025615384615384616
5,3,7,0.11269230769230769
5,3,8,0.21046153846153845
5,3,9,0.3089230769230769
5,3,10,0.40946153846153843
5,3,11,0.39284615384615384
5,3,12,0.38069230769230766
5,3,13,0.4010769230769231
5,3,14,0.42853846153846153
5,3,15,0.39584615384615385
5,3,16,0.3272307692307692
5,3,17,0.23153846153846153
5,3,18,0.11276923076923077
5,3,19,0.033846153846153845
5,3,20,-1.0842021724855044e-19
5,3,21,0.0
5,3,22,0.0
5,3,23,0.0
5,3,24,0.0
6,1,1,0.0
6,1,2,0.0
6,1,3,0.0
6,1,4,0.0
6,1,5,0.004125
6,1,6,0.044875
6,1,7,0.11525
6,1,8,0.234625
6,1,9,0.288875
6,1,10,0.33875
6,1,11,0.34875
6,1,12,0.38525
6,1,13,0.42775
6,1,14,0.40912499999999996
6,1,15,0.362
6,1,16,0.304
6,1,17,0.223
6,1,18,0.147875
6,1,19,0.050125
6,1,20,0.010125
6,1,21,0.0
6,1,22,0.0
6,1,23,0.0
6,1,24,0.0
6,2,1,0.0
6,2,2,0.0
6,2,3,0.0
6,2,4,0.0
6,2,5,0.0058
6,2,6,0.05946666666666666
6,2,7,0.1956
6,2,8,0.35586666666666666
6,2,9,0.5048666666666667
6,2,10,0.5946
6,2,11,0.6597333333333333
6,2,12,0.6978666666666666
6,2,13,0.6812666666666667
6,2,14,0.6332666666666666
6,2,15,0.5702666666666667
6,2,16,0.46886666666666665
6,2,17,0.32086666666666663
6,2,18,0.16146666666666668
6,2,19,0.054266666666666664
6,2,20,0.012733333333333333
6,2,21,0.0
6,2,22,0.0
6,2,23,0.0
6,2,24,0.0
6,3,1,0.0
6,3,2,0.0
6,3,3,0.0
6,3,4,0.0
6,3,5,0.000714285714285715
6,3,6,0.02128571428571429
6,3,7,0.08685714285714287
6,3,8,0.1382857142857143
6,3,9,0.179
6,3,10,0.16657142857142865
6,3,11,0.12128571428571433
6,3,12,0.19657142857142856
6,3,13,0.2162857142857143
6,3,14,0.21585714285714286
6,3,15,0.2102857142857143
6,3,16,0.17871428571428574
6,3,17,0.11842857142857144
6,3,18,0.071
6,3,19,0.03542857142857143
6,3,20,0.005285714285714286
6,3,21,0.0
6,3,22,0.0
6,3,23,0.0
6,3,24,0.0
7,1,1,0.0
7,1,2,0.0
7,1,3,0.0
7,1,4,0.0
7,1,5,0.0034000000000000002
7,1,6,0.0483
7,1,7,0.18030000000000002
7,1,8,0.32689999999999997
7,1,9,0.48860000000000003
7,1,10,0.5871
7,1,11,0.6704
7,1,12,0.7088000000000001
7,1,13,0.7126999999999999
7,1,14,0.659
7,1,15,0.5794
7,1,16,0.4687
7,1,17,0.3081
7,1,18,0.17099999999999999
7,1,19,0.059300000000000005
7,1,20,0.011300000000000001
7,1,21,0.0
7,1,22,0.0
7,1,23,0.0
7,1,24,0.0
7,2,1,0.0
7,2,2,0.0
7,2,3,0.0
7,2,4,0.0
7,2,5,0.0009999999999999998
7,2,6,0.022538461538461542
7,2,7,0.07561538461538461
7,2,8,0.12707692307692306
7,2,9,0.19599999999999998
7,2,10,0.21553846153846157
7,2,11,0.18584615384615383
7,2,12,0.2155384615384616
7,2,13,0.26053846153846155
7,2,14,0.288
7,2,15,0.22769230769230767
7,2,16,0.2219230769230769
7,2,17,0.17353846153846153
7,2,18,0.1036923076923077
7,2,19,0.04030769230769231
7,2,20,0.002538461538461538
7,2,21,0.0
7,2,22,0.0
7,2,23,0.0
7,2,24,0.0
7,3,1,0.0
7,3,2,0.0
7,3,3,0.0
7,3,4,0.0
7,3,5,0.0002499999999999998
7,3,6,0.033875
7,3,7,0.15125
7,3,8,0.26825
7,3,9,0.405625
7,3,10,0.53225
7,3,11,0.5591250000000001
7,3,12,0.538625
7,3,13,0.41175
7,3,14,0.374375
7,3,15,0.34475
7,3,16,0.318625
7,3,17,0.279125
7,3,18,0.15437499999999998
7,3,19,0.051875
7,3,20,0.005875
7,3,21,0.0
7,3,22,0.0
7,3,23,0.0
7,3,24,0.0
8,1,1,0.0
8,1,2,0.0
8,1,3,0.0
8,1,4,0.0
8,1,5,0.0
8,1,6,0.0162
8,1,7,0.12893333333333334
8,1,8,0.29473333333333335
8,1,9,0.46653333333333336
8,1,10,0.5780666666666666
8,1,11,0.6672
8,1,12,0.7063999999999999
8,1,13,0.6773333333333333
8,1,14,0.624
8,1,15,0.5073333333333333
8,1,16,0.37573333333333336
8,1,17,0.2348
8,1,18,0.1106
8,1,19,0.02733333333333333
8,1,20,0.0
8,1,21,0.0
8,1,22,0.0
8,1,23,0.0
8,1,24,0.0
8,2,1,0.0
8,2,2,0.0
8,2,3,0.0
8,2,4,0.0
8,2,5,0.0
8,2,6,0.003454545454545454
8,2,7,0.05663636363636364
8,2,8,0.15327272727272728
8,2,9,0.24645454545454543
8,2,10,0.2939090909090909
8,2,11,0.33454545454545453
8,2,12,0.4079090909090909
8,2,13,0.46718181818181814
8,2,14,0.3916363636363636
8,2,15,0.3080909090909091
8,2,16,0.23554545454545456
8,2,17,0.15690909090909091
8,2,18,0.06863636363636363
8,2,19,0.016272727272727272
8,2,20,0.0
8,2,21,0.0
8,2,22,0.0
8,2,23,0.0
8,2,24,0.0
8,3,1,0.0
8,3,2,0.0
8,3,3,0.0
8,3,4,0.0
8,3,5,0.0
8,3,6,0.00020000000000000052
8,3,7,0.0394
8,3,8,0.05319999999999997
8,3,9,0.0834
8,3,10,0.09919999999999995
8,3,11,0.11279999999999996
8,3,12,0.11159999999999998
8,3,13,0.09559999999999991
8,3,14,0.0686
8,3,15,0.05579999999999996
8,3,16,0.03539999999999999
8,3,17,0.03259999999999999
8,3,18,0.017799999999999996
8,3,19,0.003799999999999998
8,3,20,0.0
8,3,21,0.0
8,3,22,0.0
8,3,23,0.0
8,3,24,0.0
9,1,1,0.0
9,1,2,0.0
9,1,3,0.0
9,1,4,0.0
9,1,5,0.0
9,1,6,0.0
9,1,7,0.046266666666666664
9,1,8,0.16693333333333332
9,1,9,0.2154
9,1,10,0.23473333333333335
9,1,11,0.25253333333333333
9,1,12,0.24406666666666668
9,1,13,0.1832
9,1,14,0.15226666666666663
9,1,15,0.16473333333333334
9,1,16,0.14026666666666665
9,1,17,0.07993333333333333
9,1,18,0.0202
9,1,19,0.0
9,1,20,0.0
9,1,21,0.0
9,1,22,0.0
9,1,23,0.0
9,1,24,0.0
9,2,1,0.0
9,2,2,0.0
9,2,3,0.0
9,2,4,0.0
9,2,5,0.0
9,2,6,0.0
9,2,7,0.07766666666666666
9,2,8,0.26816666666666666
9,2,9,0.44766666666666666
9,2,10,0.5656666666666668
9,2,11,0.6538333333333333
9,2,12,0.6458333333333333
9,2,13,0.6006666666666667
9,2,14,0.5646666666666667
9,2,15,0.4803333333333333
9,2,16,0.3586666666666667
9,2,17,0.17333333333333334
9,2,18,0.028833333333333336
9,2,19,0.0
9,2,20,0.0
9,2,21,0.0
9,2,22,0.0
9,2,23,0.0
9,2,24,0.0
9,3,1,0.0
9,3,2,0.0
9,3,3,0.0
9,3,4,0.0
9,3,5,0.0
9,3,6,0.0
9,3,7,0.03933333333333333
9,3,8,0.14766666666666667
9,3,9,0.27755555555555556
9,3,10,0.359
9,3,11,0.4481111111111111
9,3,12,0.3864444444444444
9,3,13,0.3486666666666667
9,3,14,0.37066666666666664
9,3,15,0.29388888888888887
9,3,16,0.2211111111111111
9,3,17,0.12344444444444445
9,3,18,0.025222222222222222
9,3,19,0.0
9,3,20,0.0
9,3,21,0.0
9,3,22,0.0
9,3,23,0.0
9,3,24,0.0
10,1,1,0.0
10,1,2,0.0
10,1,3,0.0
10,1,4,0.0
10,1,5,0.0
10,1,6,0.0
