M,D,T,curve_load
3,2,15,0.4952060354294992
3,2,16,0.49220025784271604
3,2,17,0.5350833213961707
3,2,18,0.7182161103948814
3,2,19,0.7844434894714226
3,2,20,0.7963543904884689
3,2,21,0.742040299861529
3,2,22,0.6846106097502747
3,2,23,0.6054767702812396
3,2,24,0.5207038151172231
3,3,1,0.3725827245380319
3,3,2,0.3156510528577568
3,3,3,0.2844434894714225
3,3,4,0.27495487752471
3,3,5,0.27868500214868935
3,3,6,0.31425870219166313
3,3,7,0.3781521272024066
3,3,8,0.4565792866351526
3,3,9,0.5086119467125054
3,3,10,0.5205672539750753
3,3,11,0.5189170605930383
3,3,12,0.5250279329608939
3,3,13,0.5178599054576709
3,3,14,0.4936484744305974
3,3,15,0.48454662655779984
3,3,16,0.4942930812204556
3,3,17,0.5997249677696606
3,3,18,0.7042028362698755
3,3,19,0.7055350236355824
3,3,20,0.7264718521701763
3,3,21,0.7009883970777827
3,3,22,0.6375934679845295
3,3,23,0.553700042973786
3,3,24,0.45883970777825533
4,1,1,0.3465996991834981
4,1,2,0.29779222174473574
4,1,3,0.269032015470563
4,1,4,0.2615492049849592
4,1,5,0.26798452943704343
4,1,6,0.28486785560807915
4,1,7,0.33879458530296525
4,1,8,0.43472281908036103
4,1,9,0.5291899441340783
4,1,10,0.5664482165878815
4,1,11,0.5798452943704341
4,1,12,0.5988773098409971
4,1,13,0.5671304254404814
4,1,14,0.5290395358831114
4,1,15,0.5080468414267298
4,1,16,0.5151697464546627
4,1,17,0.6539965620971209
4,1,18,0.7023259561667383
4,1,19,0.654700257842716
4,1,20,0.6322357112161582
4,1,21,0.6223248818220887
4,1,22,0.5778362698753761
4,1,23,0.49709389772238943
4,1,24,0.3998388483025355
4,2,1,0.3301119846305519
4,2,2,0.29040673424505176
4,2,3,0.2669607421825628
4,2,4,0.26325994084784754
4,2,5,0.2784170479536895
4,2,6,0.3234889658484795
4,2,7,0.3978032811749539
4,2,8,0.4665486994110064
4,2,9,0.5052680805884882
4,2,10,0.5031370863773099
4,2,11,0.5002831214135849
4,2,12,0.514295103516267
4,2,13,0.48426148284840376
4,2,14,0.4672160570287419
4,2,15,0.460464116888698
4,2,16,0.49472433580221953
4,2,17,0.660919133446245
4,2,18,0.6800197173841604
4,2,19,0.644816603048611
4,2,20,0.6376551480067748
4,2,21,0.6407492605980941
4,2,22,0.5798301271518492
4,2,23,0.5036502439394324
4,2,24,0.40568012336004455
4,3,1,0.3654748603351956
4,3,2,0.31277180919639025
4,3,3,0.28160721959604645
4,3,4,0.2711216158143533
4,3,5,0.2738289643317577
4,3,6,0.29175762784701337
4,3,7,0.3462311989686292
4,3,8,0.4523420713364848
4,3,9,0.5524538031800602
4,3,10,0.5969832402234638
4,3,11,0.6207649333906318
4,3,12,0.6467039106145253
4,3,13,0.6190030081650194
4,3,14,0.5866609368285347
4,3,15,0.5625698324022347
4,3,16,0.5632660077352816
4,3,17,0.6809282337773959
4,3,18,0.7322217447357113
4,3,19,0.6907606360120329
4,3,20,0.7021057155135368
4,3,21,0.6755908895573701
4,3,22,0.6062054146970349
4,3,23,0.5155307262569834
4,3,24,0.42405672539750755
5,1,1,0.33896289929809487
5,1,2,0.2917347084944851
5,1,3,0.2658740390583966
5,1,4,0.2551496920212004
5,1,5,0.25773289404574323
5,1,6,0.2708016998519792
5,1,7,0.3224323162870649
5,1,8,0.42282385522608995
5,1,9,0.509831447261615
5,1,10,0.5545719333428831
5,1,11,0.5697894284486464
5,1,12,0.5958888411402379
5,1,13,0.5607267344697513
5,1,14,0.5330229671011795
